name,code,address,state,off_ph_no,off_ph_no_2,fax_no,email,website,gender,res_type,aff_type,is_icse,is_isc,is_cve,princi_name
St. Mira's English School,KA026,6Th Block Rajaji Nagar BENGALURU-560 010,KARNATAKA,08023158522,08023305757,,jyothilal@stmiras.com,ka026cisce.org,Co-ed.,Day,Permanent,True,False,False,Jyothi P Lal
New Horizon Public School,KA027,100 Feet Road Indiranagar BENGALURU-560 008,KARNATAKA,08025261021,,,nhpsoff@gmail.com,ka027cisce.org,Co-ed.,Day,Permanent,True,False,False,Sandhya Raman
St. Paul's English School,KA028,"121, 3rd Cross 3rd Phase J.P. Nagar BENGALURU-560 078",KARNATAKA,08026582710,08026584619,08026596225,head@ka028cisce.org,ka028cisce.org,Co-ed.,Day,Permanent,True,True,False,Vijaya Iyer
Mallya Aditi International School,KA029,Post Box No. 6427 Yelahanka BENGALURU-560 064,KARNATAKA,08040447000,9886039772,,staff@ka029cisce.org,ka029cisce.org,Co-ed.,Day,Permanent,True,True,False,Sathish Jayarajan
The Oxford English School,KA030,1st Phase J.P. Nagar BENGALURU-560 078,KARNATAKA,08030410501,08030410508,08026548658,icseprincipal@theoxford.edu,ka030cisce.org,Co-ed.,Day,Permanent,True,True,False,Shaji A Joseph
Florence Public School,KA031,"No. 6, P & T Colony R.T. Nagar BENGALURU-560 032",KARNATAKA,08023531747,08023333938,08023439349,head@ka031cisce.org,ka031cisce.org,Co-ed.,Day,Permanent,True,False,False,Abida Begum
The Eastwood High School,KA032,"2, Cambridge Layout Iii Main, Someswarapur Ulsoor BENGALURU-560 008",KARNATAKA,08025363923,,08025541803,eastwoodhigh@gmail.com,ka032cisce.org,Co-ed.,Day,Permanent,True,False,False,M. Eastwood
Innisfree House School,KA035,"9th Cross, 23rd Main II Phase J.P. Nagar BENGALURU-560 078",KARNATAKA,08026597110,08026596005,08026597417,head@ka035cisce.org,ka035cisce.org,Co-ed.,Day,Permanent,True,True,False,Mithra Shenoy
New Public English School,KA036,"No. 3, 17Th Cross Magadi Chord Road Vijaya Nagar BENGALURU-560 040",KARNATAKA,08023351087,08023400488,08023351087,npes.vnr@gmail.com,ka036cisce.org,Co-ed.,Day,Provisional,True,False,False,Rahmath Rahmath
Carmel School,KA037,"Padmanabh Nagar, Ii Stage Banashankari BENGALURU-560 070",KARNATAKA,08026691040,08026790932,26691040,infocsblr@gmail.com,ka037cisce.org,Co-ed.,Day,Provisional,True,False,False,Ganapathy Rao G.v.
St. Mary's Public School,KA038,"13, Queens Road BENGALURU-560 052",KARNATAKA,08022202854,08022280438,,head@ka038cisce.org,ka038cisce.org,Co-ed.,Day,Permanent,True,False,False,Asha Sunil
Little Flower Public School,KA039,"#1, Banashankari Iii Stage BENGALURU-560 085",KARNATAKA,08026421964,08026422696,08026721663,info@littleflowerpublicschool.net,ka039cisce.org,Co-ed.,Day,Permanent,True,True,False,Mrs. B. Gayethri Devi
Clarence Public School,KA040,"No. 710, 7Th Main Iii Phase J.P. Nagar BENGALURU-560 078",KARNATAKA,08026584245,08026494420,08026586909,clarencepublicschool.jp@gmail.com,ka040cisce.org,Co-ed.,Day,Provisional,True,False,False,Nimmy George
St. Ann's High School,KA041,"80 Feet Road, 6Th Block Rajaji Nagar BENGALURU-560 010",KARNATAKA,08023201718,,08023118723,sahs_school@rediffmail.com,ka041cisce.org,Co-ed.,Day,Permanent,True,False,False,T. Balakrishna
S. Cadambi Vidya Kendra English Sec. School,KA042,"Ca - 2, 10th Main Ii Cross, 3rd Stage,West Of Chord Road Basweshwarnagar BENGALURU-560 079",KARNATAKA,08023226019,,23232831,scvk123@rediffmail.com,ka042cisce.org,Co-ed.,Day,Permanent,True,False,False,Shridhari R. Shenoy
Sharada Residential School,KA043,Kunjibettu Udupi-576 102,KARNATAKA,08202523129,08202534991,08202522531,srsudupi@gmail.com,ka043cisce.org,Co-ed.,,Provisional,True,False,False,Vidyavantha U. Acharya
Vidya Niketan School,KA044,"No. 30, Kempapura Hebbal BENGALURU-560 024",KARNATAKA,08023620454,08023531340,08023635303,head@ka044cisce.org,ka044cisce.org,Co-ed.,Day,Permanent,True,True,False,Lalitha Desikan
Vivekananda Educational Centre,KA045,"No. 1, 4Th Block East Jayanagar BENGALURU-560 011",KARNATAKA,08026633167,08041211099,08026633167,vec.jnr@gmail.com,ka045cisce.org,Co-ed.,Day,Permanent,True,False,False,Jessy Joseph Fernandez
Twinklers School,KA046,"605, 15th Cross 6th Phase J.P. Nagar BENGALURU-560 078",KARNATAKA,08026646779,08028433129,08028433017,twinklersschool@gmail.com,ka046cisce.org,Co-ed.,Day,Permanent,True,True,False,Nandini R Yogeesh
Sandur Girls Residential School,KA047,Vyasankere Hospet Taluk Bellary-583 222,KARNATAKA,08394294101,08394294100,,head@ka047cisce.org,ka047cisce.org,Girls,,Permanent,True,False,False,S K Raghavendra
Sri Kumaran Public School,KA048,"Sy. No. 44 To 48, Mallasandra Village Uttarahalli Hobli Bangalore South Taluk BENGALURU-560 062",KARNATAKA,08022538105,08065839370,08026763381,head@ka048cisce.org,ka048cisce.org,Co-ed.,Day,Permanent,True,False,False,Jayasree Ramesh
Sree Rama Vidyalaya,KA049,"9Th Main , 2Nd Block Jaya Nagar BENGALURU-560 011",KARNATAKA,08026564250,08064501589,,principal.sreeramavidyalaya@gmail.com,ka049cisce.org,Co-ed.,Day,Permanent,True,False,False,E. S. Sunitha
Phoenix Public Residential School,KA050,Pune-Mumbai Highway Honaga Belgaum-591 113,KARNATAKA,08316533270,,,phoenixemschool@rediffmail.com,ka050cisce.org,Co-ed.,D/R,Permanent,True,True,False,Vijay M Karagannavar
Ekya School,KA051,"No. 16, 6th 'b' Main III Phase J.P. Nagar BENGALURU-560 078",KARNATAKA,08026588585,08065391166,,head@ka051cisce.org,ka051cisce.org,Co-ed.,Day,Permanent,True,False,False,Sabitha Ramamurthy
Jyothi English Medium School,KA052,P.o. Box No. 34 Kolar-563 125,KARNATAKA,08154290584,,08154252184,head@ka052cisce.org,ka052cisce.org,Co-ed.,D/R,Permanent,True,False,False,Varkey Valiadeth
Coorg Public School,KA053,Post Box No. 14 Gonikoppal S. Kodagu Kodagu-571 213,KARNATAKA,08274247011,08274248327,08274247881,head@ka053cisce.org,ka053cisce.org,Co-ed.,,Permanent,True,False,False,Benny Kuraiakose
Sishu Griha Montessori And High,KA054,"No. 3, H.a.l. III Stage New Thippasandra Post Bangalore South Taluk BENGALURU-560 075",KARNATAKA,08025213941,08025213940,25286924,head@ka054cisce.org,ka054cisce.org,Co-ed.,Day,Permanent,True,False,False,Sujatha Mohandas
Sayyid Akbar Husayni School,KA055,Khaja Bandanawaz Marg Near Dargah Rauza-E-Buzurg Gulbarga-585 104,KARNATAKA,08472223939,08472253939,08472223939,sahsglb@gmail.com,ka055cisce.org,Co-ed.,Day,Permanent,True,False,False,Benny Kuriakose
Acharya Pathasala Public School,KA056,N.R. Colony Narasimha Raja Colony BENGALURU-560 019,KARNATAKA,08026621302,08026603826,08026607420,aps_public_school@vsnl.com,ka056cisce.org,Co-ed.,Day,Permanent,True,True,False,Vidya G. Rotti
National Academy For Learning,KA057,"III Cross, III Stage, III Block Basaveshwarnagar Basweshwarnagar BENGALURU-560 079",KARNATAKA,08023239281,08023401567,08023231567,head@ka057cisce.org,ka057cisce.org,Co-ed.,Day,Permanent,True,True,False,Catherina Koshy
St. Thomas Public School,KA058,"32, Church Road New Thippasandra Indira Nagar BENGALURU-560 075",KARNATAKA,08025282890,,08025280290,stpschool1@gmail.com,ka058cisce.org,Co-ed.,Day,Permanent,True,False,False,M. C. Thomas
Vidyaniketan Public School,KA059,Kaup Udupi-574 106,KARNATAKA,08202552253,08202579216,08202551313,vidyaniketan_act@rediffmail.com,ka059cisce.org,Co-ed.,D/R,Permanent,True,False,False,Vidyadar Puranik
Carmel High School,KA060,"Ii - Block, Iii Stage Judges' Colony, West Of Chord Road Basaweshwaranagar BENGALURU-560 079",KARNATAKA,08023227015,,08023222091,carmelit1968@gmail.com,ka060cisce.org,Co-ed.,Day,Permanent,True,False,False,(mrs.) Florence D'souza
Notre Dame School,KA061,"Vijayanagar Iv Stage, Hunsur Road Hinkal Mysore-570 017",KARNATAKA,08212402856,,,ndschoolmysore@gmail.com,ka061cisce.org,Co-ed.,Day,Permanent,True,False,False,Julie Julie S.n.d.
Dayananda Sagar International School,KA062,Sagar Hospital Road Kumaraswamy Layout BENGALURU-560 078,KARNATAKA,08026665463,276942161769,26660789,head@ka062cisce.org,ka062cisce.org,Co-ed.,Day,Permanent,True,False,False,Cdr. T. Pathanjali
Acharya Vidya Kula,KA063,"Aloka Road, Left Fork Off Mysore Madikeri Highway 12 K.M. Stone Mysore-571 130",KARNATAKA,08212402150,7022705850,,head@ka063cisce.org,ka063cisce.org,Co-ed.,Day,Permanent,True,False,False,Sarojini B. T.
Sri Vani Public School,KA064,"1246, Ii Stage Rajaji Nagar BENGALURU-560 010",KARNATAKA,08023322239,08023328801,08023522714,rjnr@srivani.org,ka064cisce.org,Co-ed.,Day,Permanent,True,False,False,R. H. Sharadaprasad
Mysore Public School,KA065,H.D. Kote Road Rayanakere Post Mysore-570 008,KARNATAKA,08212597917,08212597957,08212597934,mps_mysore@yahoo.co.in,ka065cisce.org,Co-ed.,,Permanent,True,True,False,Alistair Laporte
Sri Siddhi Vinayaka Residential School,KA066,Hattiangady Kundapura Taluk Udupi-576 283,KARNATAKA,08254264591,08254264291,08245264291,siddhiv_rs@rediffmail.com,ka066cisce.org,Co-ed.,,Provisional,True,False,False,Sharana Kumara
Green Park Central School,KA067,", Hiriadka Udupi-576 113",KARNATAKA,08202542404,08202542454,,head@ka067cisce.org,ka067cisce.org,Co-ed.,Day,Provisional,True,False,False,Sandhya Shetty
R.T. Nagar Public School,KA068,"I Main, 'A' Cross, Kanakanagar R.T. Nagar Post, Post Box No. 3226 BENGALURU-560 032",KARNATAKA,08023542040,08023535282,08023542787,rtnagarpublicschool@gmail.com,ka068cisce.org,Co-ed.,Day,Provisional,True,False,False,V. Nagamanjula
Sri K.V. English School,KA069,C.V.V. Campus Chickballapur Kolar-562 101,KARNATAKA,08156263070,08156309582,08156263070,skves069@gmail.com,ka069cisce.org,Co-ed.,Day,Provisional,True,False,False,A. Thiagaraj
Bishop Sargant School,KA070,C.s.i.v.c. Campus B.H. Road Tumkur-572 102,KARNATAKA,08162252092,,08162252092,head@ka070cisce.org,ka070cisce.org,Co-ed.,Day,Permanent,True,False,False,Esther Arul
Sandur Residential School,KA071,Sandur P.O. Shivapur Bellary-583 119,KARNATAKA,08395260246,08395260196,08395260473,principal@sandurschool.com,ka071cisce.org,Co-ed.,,Provisional,True,False,False,Bilquis Soudagar
Daffodils English School,KA072,"Postal Colony, Rajamahal Vilas II Stage Bengaluru BENGALURU-560 094",KARNATAKA,08023418188,08032483095,08023516711,head@ka072cisce.org,ka072cisce.org,Co-ed.,Day,Permanent,True,False,False,Aparna Ramasheshaiah
Acts Secondary School,KA073,"15 Km, Hosur Road Electronic City Post BENGALURU-560 100",KARNATAKA,08065370156,,25521760,head@ka073cisce.org,ka073cisce.org,Co-ed.,Day,Permanent,True,False,False,Cynthia Duraisami
Bangalore International School,KA074,"Geddalahali, Hennur Bagallur Road Kothanur Post BENGALURU-560 077",KARNATAKA,08028465059,08028465060,918028465059,info@bisedu.co.in,ka074cisce.org,Co-ed.,Day,Provisional,True,False,False,Anu Monga
Shalini Kannada And English Primary School,KA075,Siddappa Garden Lingarajapuram BENGALURU-560 084,KARNATAKA,08025470576,08025473316,,shalinikannadaandenglishprimaryschool@gmail.com,ka075cisce.org,Co-ed.,Day,Provisional,True,False,False,J. Ruby Precilla
The New Cambridge English School,KA076,R.P.C. Layout Vijaya Nagar BENGALURU-560 040,KARNATAKA,08023301499,08023301578,,head@ka076cisce.org,ka076cisce.org,Co-ed.,Day,Provisional,True,False,False,H. Dorothy Sheela
St. Philomena's English Primary School,KA077,"Doddabommasandra Vidyaranyapura, Main Road Jalahalli BENGALURU-560 097",KARNATAKA,08023456443,08041636086,08041125559,s.philomena@yahoo.com,ka077cisce.org,Co-ed.,Day,Permanent,True,False,False,Malathi N K
St. Theresa's School,KA078,Bendur Mangalore Dakshina Kannada-575 002,KARNATAKA,08242214278,,08242218044,stsbm@yahoo.co.in,ka078cisce.org,Co-ed.,Day,Permanent,True,False,False,Premitha
Ryan International School,KA079,"Behind H.l.l. Ltd., Near A.e.c.s. Layout Kundalahalli M.H. Colony BENGALURU-560 037",KARNATAKA,08028525439,08028475080,08028525440,ris.blr1@ryangroup.org,ka079cisce.org,Co-ed.,Day,Permanent,True,True,False,Vidya Subramaniam
International School,KA080,"Whitefield, Sarjapur Road Near Dommandra Circle BENGALURU BENGALURU-562 125",KARNATAKA,08022634900,,,school@tisb.ac.in,ka080cisce.org,Boys,Day,Provisional,True,False,False,G. Bindu Hari
Cambridge Public School,KA081,"CASite No. 28, 11th Cross 22nd Main Road, Sector 1 BENGALURU BENGALURU-560 101",KARNATAKA,08022589283,08022589281,08022589284,cambridgepublicschool@yahoo.co.in,ka081cisce.org,Co-ed.,Day,Provisional,True,False,False,Durba Gupta
Cambridge Public School,KA082,"C.a. Site 13, 25th Cross 19th Main, Sector-2 H.s.r.extension H.S.R. Extension BENGALURU-560102",KARNATAKA,08025723839,08025727335,08025729395,head@ka082cisce.org,ka082cisce.org,Co-ed.,Day,Permanent,True,False,False,Judith Singh
Appollo National Public School,KA083,"125/1, U-block H. B. C. S. Layout Banashankari BENGALURU-560 085",KARNATAKA,08026692847,08026690024,,principalanps@gmail.com,ka083cisce.org,Co-ed.,Day,Permanent,True,False,False,Radha Sampath
Auden Institute Of Education,KA084,"No. 17, Girinagar, 3rd Stage Viith Block Banashankari BENGALURU-560 085",KARNATAKA,08026721901,08026727745,08026420618,head@ka084cisce.org,ka084cisce.org,Co-ed.,Day,Permanent,True,False,False,Rama J.
Rashtreeya Vidyalaya Public School,KA085,Rashtreeya Vidyalaya Road Near Lalbagh West Gate Visweswarapuram BENGALURU-560 004,KARNATAKA,08026569588,,08026569588,head@ka085cisce.org,ka085cisce.org,Co-ed.,Day,Permanent,True,False,False,Sarah Abraham
Miranda English Medium School,KA086,"Ca - 52, 10Th Main 6Th Cross H.A.L. III Stage BENGALURU-560 075",KARNATAKA,08025281760,08025253284,08025253284,miranda_school@yahoo.co.in,ka086cisce.org,Co-ed.,Day,Provisional,True,False,False,Vijayalakshmi Prakash
Vidyashilp Academy,KA087,Post Box No. 6437 Shivanahalli Yelahanka Hobli BENGALURU-560 064,KARNATAKA,9739801824,,08028566010,head@ka087cisce.org,ka087cisce.org,Co-ed.,Day,Permanent,True,True,False,Kalai Selvi
Maruthi Vidyalaya,KA088,"No. 85 / 2, Horamavu Agara Bank Avenue Extension BENGALURU BENGALURU-560 043",KARNATAKA,08025603711,08025603721,08025420724,head@ka088cisce.org,ka088cisce.org,Co-ed.,Day,Permanent,True,False,False,K. Parimala
St. Charles High School,KA089,Kammanahalli St. Thomas Town BENGALURU-560 084,KARNATAKA,08025421900,08025451149,,stcharleskammanahalli@yahoo.co.in,ka089cisce.org,Girls,Day,Permanent,True,False,False,Juliana Pinto
The Sudarshan Vidya Mandir I.C.S.E. Academy,KA090,"1164, 26Th 'A' Main Road 4Th T - Block Jayanagar BENGALURU-560 041",KARNATAKA,08026646221,08022440428,08026641982,head@ka090cisce.org,ka090cisce.org,Co-ed.,Day,Permanent,True,False,False,Noor Salma
Mount Senoria School,KA091,"No. 82 Swathantra, Yodhara Nagar Laggere BENGALURU-560 058",KARNATAKA,08023720500,,08023720500,mountsenoriaschool@yahoo.co.in,ka091cisce.org,Co-ed.,Day,Provisional,True,False,False,Rebecca Cherian
Lowry Memorial High School,KA092,Dooravani Nagar Post BENGALURU BENGALURU-560 016,KARNATAKA,08028510069,08028517987,08028517987,lowryicseschool@gmail.com,ka092cisce.org,Co-ed.,Day,Permanent,True,True,False,Vara Prasad Rao
India International School,KA093,"26 / 1, Chikka Bellandur Village Carmelram Post BENGALURU-560 037",KARNATAKA,08028439001,08028439002,08028440944,principal@iisbangalore.org,ka093cisce.org,Co-ed.,Day,Permanent,True,True,False,Ratna Ghose
Holy Angel's High School,KA094,"No. 2, 5th Main, 4th Cross R.p.c. Layout Vijayanagar BENGALURU-560 040",KARNATAKA,08023404465,,08023405556,holyangels.highschoolrpclayout@gmail.com,ka094cisce.org,Co-ed.,Day,Provisional,True,False,False,Radhika C.
S.S.B. International School,KA095,"No. 5 / A, H.A.L. Ii Stage Indiranagar BENGALURU-560 038",KARNATAKA,08065734004,09945234098,08041523548,ssbinternationalschool@gmail.com,ka095cisce.org,Co-ed.,Day,Permanent,True,False,False,R. Srinivas
R.N.S. Vidyaniketan,KA096,"324, Bunts' Sangha Complex Chord Road Vijayanagar BENGALURU-560 040",KARNATAKA,08023397666,08023398922,08023393610,anjurnaik@gmail.com,ka096cisce.org,Co-ed.,Day,Permanent,True,False,False,A.s. Prakash Murthy
De Paul International Residential School,KA097,Avverahalli Belagola P.O. Srirangapatna Taluk Mandya-571 606,KARNATAKA,08212972401,08212972402,08236290344,dpirsm@yahoo.co.in,ka097cisce.org,Co-ed.,,Permanent,True,True,False,Fr. Biju Scaria C.m.
Auxilium School,KA098,Bandapura Village Old Madras Road Virgoanagar Post BENGALURU-560 049,KARNATAKA,08028473594,08028472364,,schoolauxilium@gmail.com,ka098cisce.org,Co-ed.,Day,Permanent,True,False,False,Theresa T.c.
St. Flowers English Medium School,KA099,No. 1451 Cholurpalaya BENGALURU-560 023,KARNATAKA,08023409832,08023409884,,head@ka099cisce.org,ka099cisce.org,Co-ed.,Day,Provisional,True,False,False,Vinutha P.
National Residential School,KA100,Thirthahalli Taluk Konandoor Shimoga-577 422,KARNATAKA,08181276566,08185276678,,hsgmurthy@rediffmail.com,ka100cisce.org,Co-ed.,,Provisional,True,False,False,. H.s. Ganesha Murthy
Silas International School,KA101,"Hanumanthanagar Puttur, B.P.O. Udupi-576 105",KARNATAKA,08202582607,08202581707,08202582607,head@ka101cisce.org,ka101cisce.org,Co-ed.,D/R,Permanent,True,False,False,Deirdra S. Maben
South East Asian International School,KA102,"Ekta Nagar, No. 23, Basavanapura Grama K.r. Puram, Hublii Virgo Nagar BENGALURU-560 049",KARNATAKA,08065470227,08025619842,08025613418,head@ka102cisce.org,ka102cisce.org,Co-ed.,Day,Permanent,True,False,False,V. Hema Malini
St. Dominic's School,KA103,"Jigala Road, Attibele Attibele Anekal Taluk BENGALURU-562 107",KARNATAKA,08027821841,08027800272,08027844444,head@ka103cisce.org,ka103cisce.org,Co-ed.,Day,Permanent,True,True,False,Sarada Lakshmi
New Baldwin International School,KA104,"No. 25, Ramamurthy Nagar Main Road, Dodda Banaswadi BENGALURU-560 043",KARNATAKA,08025453799,08025457389,08025429440,staff@ka104cisce.org,ka104cisce.org,Co-ed.,,Permanent,True,False,False,Maria Monica Antony
Green Valley National School,KA105,"N.h. - 17, Shiroor Udupi-576 228",KARNATAKA,08254253999,08254273333,08254253633,head@ka105cisce.org,ka105cisce.org,Co-ed.,,Permanent,True,False,False,John Mathew
Vidyodaya Public School,KA106,Vadiraja Road Udupi-576 101,KARNATAKA,08202531021,0820252055,08202521725,head@ka106cisce.org,ka106cisce.org,Co-ed.,Day,Provisional,True,False,False,Sudha Rao
Deccan International School,KA107,"#11, 18th Main Padmanabhanagar, Chikkalsandra BENGALURU-560 061",KARNATAKA,08026393704,,25965384,admin@deccan.edu.in,ka107cisce.org,Co-ed.,Day,Permanent,True,True,False,Anuradha Anekal
Divine English School,KA108,"No. 640, 1st Main Road Yeshwanthpura BENGALURU-560 022",KARNATAKA,08041273278,08023379188,08023379188,head@ka108cisce.org,ka108cisce.org,Co-ed.,Day,Permanent,True,False,False,Manjula J.
Jnanasarovara International Residential School,KA109,"Parshuramanagar, Bhugathanahalli Vajamangala Post Bannur Road Mysore-570 028",KARNATAKA,9343299998,9342788880,08212479812,secretary@jirsm.com,ka109cisce.org,Co-ed.,D/R,Permanent,True,True,False,Anjum Fathima
School Vivekananda,KA110,"Rajivgandhi Nagar, Nti Layout Sahakarnagar Sahakaranagar BENGALURU-560 092",KARNATAKA,9900049196,08029729196,08023433559,head@ka110cisce.org,ka110cisce.org,Co-ed.,Day,Permanent,True,False,False,Vatsala Mohan J
Vidya Jyothi School,KA111,Basavanatha Kolar-563 101,KARNATAKA,08152290746,,,vidyajyothi.klr@gmail.com,ka111cisce.org,Co-ed.,Day,Permanent,True,False,False,Krupa Jyothsna N.c.s.
Nandini Vidyanikethana,KA112,Channarayapatna Road Vijayapura Vijayapura Bangalore Rural-562 135,KARNATAKA,08027668811,08027665427,08027665393,nandiniicse@yahoo.in,ka112cisce.org,Co-ed.,Day,Permanent,True,False,False,P T Joseph
Vidyanidhi Public School,KA113,B.h. Road Gauribidanur Gauribidanur Taluk Chikballapur-561 208,KARNATAKA,08155285444,08155286685,,head@ka113cisce.org,ka113cisce.org,Co-ed.,Day,Provisional,True,False,False,Madhusudan P
Embassy Public School,KA114,"No. 60, Chikkagollarahalli Magadi Main Road BENGALURU-560 091",KARNATAKA,08023580252,08023580253,08023580253,head@ka114cisce.org,ka114cisce.org,Co-ed.,Day,Provisional,True,False,False,Bharathi J. Uchil
Cauvery Public School,KA116,"P.B. No. 47, Tubinakere, Jakkanally Road Ragimuddanahalli, Kothathi Hobali Elechakanahalli Post Mandya-571 401",KARNATAKA,08232219135,08232219136,08232231398,cauvery_4u@yahoo.com,ka116cisce.org,Co-ed.,,Permanent,True,False,False,Pradeep Kumar
Swargarani School,KA117,B.E.M.L. Layout Rajarajeshwari Nagar BENGALURU-560 098,KARNATAKA,08028616826,08028616115,08028601826,swargarani_school@yahoo.com,ka117cisce.org,Co-ed.,Day,Permanent,True,False,False,Ani Svm
The Presidency Public School,KA118,"42 / 1, Jyothi Nagar Gurukula Extension, Amarapura Road Sira Tumkur-572 137",KARNATAKA,08135277961,08135235366,08135275650,head@ka118cisce.org,ka118cisce.org,Co-ed.,D/R,Permanent,True,False,False,George Mathew
Gnana Deepa Academy Residential School,KA119,Malegenahalli Devanahalli Bangalore Rural-562 110,KARNATAKA,08027682829,,,principal@gdars.com,ka119cisce.org,Co-ed.,,Provisional,True,False,False,N.p. Eswar Rao
Sarala Birla Academy,KA120,Jigni Road Bannerghatta BENGALURU-560 083,KARNATAKA,08041348200,08041348203,08041348261,s.das@saralabirlaacademy.org,ka120cisce.org,Boys,,Permanent,True,True,False,Santanu Das
St. Peter's School,KA121,"Sy. No. 56 & 58, Kaikondrahalli Before Wipro Campus Sarjapura Road BENGALURU-560 035",KARNATAKA,08065688671,08065688671,08028441079,st.petersbangalore@gmail.com,ka121cisce.org,Co-ed.,Day,Permanent,True,False,False,Meghana Pandey
Seshadripuram Public School,KA122,Mother Dairy Road Yelahanka New Town BENGALURU-560 106,KARNATAKA,08022955376,08022955384,08022955376,spsicse@ymail.com,ka122cisce.org,Co-ed.,Day,Permanent,True,False,False,Marry Thomas
St. Francis School,KA123,Post Box No. 3417 Koramangala BENGALURU-560 034,KARNATAKA,08025531076,08025500123,,head@ka123cisce.org,ka123cisce.org,Co-ed.,Day,Permanent,True,False,False,Antony D Vayalil
Amber Valley Residential School,KA124,P.O. Box No. 116 K.M. Road Mugthihalli Chickmagalur-577 133,KARNATAKA,08262224535,08262224633,08262224643,principal@ambervalleyschool.org,ka124cisce.org,Co-ed.,,Permanent,True,True,False,Rajput Surendra Singh
Baldwin Co-Education Extension High School,KA125,"2Nd Cross, 10Th Main 5Th Stage, B.E.M.L. Layout Rajarajeshwari Nagar BENGALURU-560 098",KARNATAKA,08028616636,,08028604568,head@ka125cisce.org,ka125cisce.org,Co-ed.,Day,Permanent,True,False,False,Vijay Kumar Koujalgi
Prakriya Green Wisdom School,KA126,"Post Box 23, Plot #70 Chikkanayakanahalli Road, Off Doddakaneli Sarjapura Road BENGALURU-560 035",KARNATAKA,08028440925,08028441172,,prakgreen@gmail.com,ka126cisce.org,Co-ed.,Day,Permanent,True,False,False,Devi Sudhir
Karaumbiah's Academy For Learning And Sports,KA127,"87/2, Kaikeri Gonikoppal South Coorg Kodagu-571 213",KARNATAKA,08274279456,08274279457,08274247233,head@ka127cisce.org,ka127cisce.org,Co-ed.,D/R,Permanent,True,True,False,Gouramma Nanjappa
Sri Vani Education Centre,KA128,"C.A. Site No. 1, 4Th 'B' Main 3Rd Block, 3Rd Stage Basaveshwaranagar BENGALURU-560 079",KARNATAKA,08023238608,08023228078,08023228078,bsnr@srivani.org,ka128cisce.org,Co-ed.,Day,Provisional,True,False,False,Asha Sridhar
Sri Vishweshwaraiah School,KA129,Plot No. 823/B/2 & 823/C Allipura Hospet Road Bellary-583 104,KARNATAKA,08392245345,08392245641,08392237944,svsblyka129@gmail.com,ka129cisce.org,Co-ed.,Day,Permanent,True,False,False,K. Sailaja
Fusco's School,KA130,Old Madras Road Indiranagar BENGALURU-560 038,KARNATAKA,08025211025,,08025205565,fuscos.school@yahoo.com,ka130cisce.org,Co-ed.,Day,Permanent,True,False,False,Shamala Margret
Glowinstar Integrated School,KA131,Ambalpady Udupi-576 103,KARNATAKA,08202532243,,08202532243,glowinstarintegratedschool@hotmail.com,ka131cisce.org,Co-ed.,Day,Provisional,True,False,False,B. Shantha Fernandes
St. Ann's School,KA132,"Madanahalli, B.h. Road Chikballapur-561 208",KARNATAKA,08155292673,08155285735,,stannsgbd@yahoo.com,ka132cisce.org,Co-ed.,Day,Permanent,True,False,False,Lourdu Helen Vijaya Ca
Sri Venu Central School,KA133,Unikili Kasaba Hobli Srinivaspur Kolar-563 135,KARNATAKA,08157245265,09972328125,08157245166,govindgowdasggvvpct@gmail.com,ka133cisce.org,Co-ed.,Day,Permanent,True,False,False,Govinda Gowda G
Swaminarayan International School,KA134,Mysore Road P.O. Kumbalgodu BENGALURU-560 074,KARNATAKA,08032985000,9845195000,08028437260,alpeshb@gurukul.org,ka134cisce.org,Boys,D/R,Permanent,True,False,False,Krishnacharandas Swamiji
Cambridge Public School,KA135,"C.A. Site No. 15 Sector - A, New Town Yelahanka BENGALURU-560 064",KARNATAKA,08041279300,08041570040,,khannigar@rocketmail.com,ka135cisce.org,Co-ed.,Day,Permanent,True,False,False,Nigar Sultana
M.E.S. Kishore Kendra Public School,KA136,"Iii Stage. Iv Main, 11Th Cross, Vidyaranyapura BENGALURU-560 097",KARNATAKA,08023641567,08023641565,08023641565,head@ka136cisce.org,ka136cisce.org,Co-ed.,Day,Permanent,True,False,False,Preeti Bararia
The Regency Public School,KA137,"5/1, A.M.S. Extension Vidyaranyapura BENGALURU-560 097",KARNATAKA,08023642370,08064563279,08042195072,head@ka137cisce.org,ka137cisce.org,Co-ed.,Day,Permanent,True,False,False,Usha Ravi
New Millennium School,KA138,Horamavu Agara BENGALURU-560 043,KARNATAKA,08065989755,08028445812,,head@ka138cisce.org,ka138cisce.org,Co-ed.,Day,Permanent,True,False,False,Krishna Murthy V.
General Thimmaiah Public School,KA139,Shree Omkareshwara Temple Road Madikeri Kodagu-571 201,KARNATAKA,08272224830,,08272223032,principalgtps.madikeri@gmail.com,ka139cisce.org,Co-ed.,Day,Permanent,True,False,False,Saraswathi Bollachanda Machaiah
Patel Public School,KA140,Subbaihna Palya BENGALURU-560 033,KARNATAKA,08025450466,7022597790,08025421733,patelpublicschool.ka140@gmail.com,ka140cisce.org,Co-ed.,Day,Permanent,True,False,False,Indira K. Nair
Shree Bharathi Vidyalaya,KA141,"Ca 14, 10th Cross, 5th Main, R.p.c. Layout Vijayanagar BENGALURU-560 040",KARNATAKA,08023112134,,08023112134,vyshmadhu@gmail.com,ka141cisce.org,Co-ed.,Day,Permanent,True,False,False,Vyshnavi Raj
