name,state,city,address,city_location,latitude,longitude
ESSAR INTERNATIONAL SCHOOL,GUJARAT,AJMER,NAND VIDYA NIKETAN ESSAR  TOWNSHIP HAZIRA SURAT GUJARAT,"(26.4499, 74.6399)",26.540575,74.607496
DELHI PUBLIC SCHOOL,FOREIGN SCHOOLS,DELHI,"BISHAL CHOWK, WARD NO.6 BIRATNAGAR","(28.61, 77.23)",28.546135,77.216536
MOTHER INDIA SR. SEC SCHOOL,HARYANA,PANCHKULA,VPO.-MARAUT JHAJJAR-124103,"(30.74, 76.8)",30.751249,76.708916
KENDRIYA VIDYALAYA,WEST BENGAL,BHUBANESWAR,"FORT WILLIAM KOLKATA, WEST BENGAL","(20.27, 85.84)",20.340108,85.801987
VIDYA VAHINI,UTTAR PRADESH,ALLAHABAD,"M G MARG, BESIDE K P INTER COLLEGE, SADAR, DIST. ALLAHABAD,","(25.4358, 81.8463)",25.490256,81.80115
SEVEN STAR SENIOR SECONDARY PUBLIC SCHOOL,HIMACHAL PRADESH,PANCHKULA,V P O BANI TEH BARSAR DISTT HAMIRPUR (HIMACHAL PRADESH),"(30.74, 76.8)",30.790433,76.798068
MAYOOR SCHOOL,UTTAR PRADESH,DEHRADUN,SECTOR 126 EXPRESSWAY NOIDA UP,"(30.345, 78.029)",30.287695,78.031986
"SRI SRI RAVISHANKAR VIDYA MANDIR, BANGALORE ASHRAM",KARNATAKA,CHENNAI,"NO 269-270, B M KAVALU 21 KM, KANAKAPURA ROAD USAYAPURA, BANGALORE","(13.0825, 80.275)",13.047152,80.321588
"ODISHA ADARSH VIDYALAYA,",ODISHA,BHUBANESWAR,"AT/PO- JAYANTIGIRI, VIO-BIGUMMA, DISTT.- KAPUT, ODISHA.","(20.27, 85.84)",20.289517,85.905136
KASHI BRIGHT ANGEL'S SECONDARY SCHOOL,UTTAR PRADESH,ALLAHABAD,LALGANJ DISTT RAE BAREILLI RAE BAREILLI UTTAR PRADESH,"(25.4358, 81.8463)",25.487648,81.796182
"ADRASH VIDYA MANDIR MANDAWA, JHUNJHUNU",RAJASTHAN,AJMER,VILL/POST- MANDAWA,"(26.4499, 74.6399)",26.403607,74.667566
"CHENNAI PUBLIC SCHOOL,",TAMILNADU,CHENNAI,"THIRUVALLORE MAIN ROAD, THIRUMAZHISAI, CHENNAI - 602107","(13.0825, 80.275)",13.112082,80.245284
SAINIK SCHOOL,MANIPUR,GUWAHATI,IMPHAL P B NO 21 IMPHAL MANIPUR,"(26.1722, 91.7458)",26.141137,91.815041
ARMY PUBLIC SCHOOL,UTTARAKHAND,DEHRADUN,BEG CENTRE ROORKEE CANTT UTTARANCHAL,"(30.345, 78.029)",30.320214,78.094844
GLOBAL PUBLIC SCHOOL,HARYANA,PANCHKULA,V.P.O TEEKL TEH-GURGAON HARYANA,"(30.74, 76.8)",30.831531,76.772365
KERALA EDUCATION SOCIETY SR.SEC. SCHOOL,DELHI,DELHI,"POCKET - A-3, MAYUR VIHAR, PHASE - III","(28.61, 77.23)",28.677537,77.208373
VADANTA INTERNATIONAL  SCHOOL,RAJASTHAN,AJMER,"BEHIND KARDHANI HATOJ, KALWAD ROAD, JAIPUR","(26.4499, 74.6399)",26.360341,74.612227
B DEVRAS SARASWATI VIDYA MANDIR,UTTAR PRADESH,DEHRADUN,"H 107 SEC 12 NOIDA, GAUTAM BUDH NAGAR, UTTAR PRADESH","(30.345, 78.029)",30.275498,78.099238
SHATHI AL NOOR INTERNATIONAL SCHOOL,FOREIGN SCHOOLS,DELHI,LIC NO 146/C MINISTRY OF EDUCATION KHALID BIN WALEED STREED SHARAFIA POST BOX NO 130026 JEEDAH-21372 KINGDOM OF SAUDI ARABIA,"(28.61, 77.23)",28.541147,77.23534
GOVT HIGHER SEC SCHOOL,CHATTISGARH,BHUBANESWAR,MUNGELI BILASPUR CHHATTISGARH,"(20.27, 85.84)",20.223677,85.831568
ST XAVIER'S PUBLIC SCHOOL,ASSAM,GUWAHATI,PO CHALANTAPARA BONGAIGAON ASSAM,"(26.1722, 91.7458)",26.095876,91.758785
MOUNT CARMEL SCHOOL,DELHI,DELHI,ANAND NIKETAN NEW DELHI,"(28.61, 77.23)",28.583455,77.312768
MOTI RAM MEMIAL GIRLS SR SEC SCH,DELHI,DELHI,"P & N POCKET, DILSHAD GARDEN DELHI","(28.61, 77.23)",28.640489,77.206675
LOTUS NATIONAL SCHOOL,ANDHRA PRADESH,CHENNAI,"MADINAGUDA, MIYAPUR, SERILINGAMPALLY MANDAL, RANGAREDDY DISTT.","(13.0825, 80.275)",13.162782,80.339062
SAANDIPINI HIGH TECH SCHOOL,KARNATAKA,CHENNAI,# 40 RING ROAD NAGADEVANAHALLI JANANABHARATHI PO BANGALORE KARNATAKA,"(13.0825, 80.275)",13.107856,80.190059
NABIL'S MEMORIAL SCHOOL,SIKKIM,GUWAHATI,"SHANTI NAGAR, P.W.D COLONY, JORETHANG SOUTH SIKKIM","(26.1722, 91.7458)",26.101806,91.790894
VANASTHALI PUBLIC SCHOOL,UTTAR PRADESH,DEHRADUN,"SECTOR-3 VASUNDRA, GHAZIABAD, UTTAR PRADESH","(30.345, 78.029)",30.40415,78.115707
SIRAJUL HUDA ENGLISH MEDIUM SCHOOL,KERALA,TRIVANDRUM,"MEPPAYUR MANHAKULAM  P O KEEZHARIYUR, QUILANDY, KOZIKODE","(8.5241, 76.9366)",8.563711,76.886176
GOVT CO-ED SR SEC SCHOOL,DELHI,DELHI,JHATIKARA NEW DELHI,"(28.61, 77.23)",28.637401,77.268035
KENDRIYA VIDYALAYA,DELHI,DELHI,SAINIK VIHAR DELHI,"(28.61, 77.23)",28.681906,77.141395
JCM INTERNATIONAL SCHOOL,HARYANA,PANCHKULA,"VPO- PANHERA KHURD, BALLABGARH, FARIDABAD,","(30.74, 76.8)",30.719266,76.802816
GITANJALI DEVAKUL,ANDHRA PRADESH,CHENNAI,"5-3-416/A, SRIKRISHNA NAGAR, VV NAGAR EXT., KUKATPALLY","(13.0825, 80.275)",13.168091,80.352567
CENTRAL SCHOOL FOR TIBETANS,WEST BENGAL,BHUBANESWAR,"P O TOPKHANA, 11TH MILE, KALIMPONG DISTT. DARJEELING WEST BENGAL","(20.27, 85.84)",20.258081,85.77171
RAMANUJAN SARVODAYA KANYA VIDYALAYA,DELHI,DELHI,MEHRAULI NEW DELHI,"(28.61, 77.23)",28.67391,77.324774
AKAL ACADEMY MEHAL KALAN,PUNJAB,PANCHKULA,"VPO MEHAL KALAN, BARNALA - RAIKOT ROAD, DISTT. BARNALA (PUNJAB)","(30.74, 76.8)",30.641024,76.767302
JAWAHAR NAVODAYA VIDYALAYA,MAHARASHTRA,CHENNAI,TULJAPUR  NALDURG ROAD TULJAPUR DISTT OSMABABAD MAHARASHTRA,"(13.0825, 80.275)",13.152571,80.313959
JAWAHAR NAVODAYA VIDYALAYA,RAJASTHAN,AJMER,HURDA BHILWARA DT. RAJASTHAN,"(26.4499, 74.6399)",26.444586,74.673808
"SRI RENUKA FOUNDATION SCHOOL, MUNOLI",KARNATAKA,CHENNAI,"AT POST : MUNOLI, TQ: SOUNDATTI DIST: BELGAUM","(13.0825, 80.275)",13.060639,80.181443
DAV PUBLIC SCHOOL,ODISHA,BHUBANESWAR,"NIMAPARA, DISTT PURI, ORISSA","(20.27, 85.84)",20.269196,85.758974
HOLY HEAVEN PUBLIC SCHOOL,UTTAR PRADESH,DEHRADUN,VILLAGE & POST OFFICE - DHINDHALI (UNN),"(30.345, 78.029)",30.44372,78.114983
STELLA MARIS CONVENT SEC SCHOOL,UTTAR PRADESH,ALLAHABAD,CIVIL LINES DISTT SULTANPUR UTTAR PRADESH,"(25.4358, 81.8463)",25.511651,81.816165
EVERGREEN PUBLIC SCHOOL,RAJASTHAN,AJMER,"NEW HOUSING BOARD, SHASTRI NAGAR BHILWARA RAJASTHAN","(26.4499, 74.6399)",26.546872,74.673366
K L MEHTA DAYANAND PUBLIC SCHOOL,HARYANA,PANCHKULA,SEC-7C FARIDABAD  HARYANA,"(30.74, 76.8)",30.803322,76.810979
CHRIST CHURCH DIOCESAN SCHOOL,BIHAR,PATNA,"COLLECTORATE ROAD, PATNA, BIHAR","(25.6, 85.1)",25.671951,85.19952
NAV GIAN DEEP PUBLIC SCHOOL,DELHI,DELHI,VIJAY ENCLAVE NEW DELHI,"(28.61, 77.23)",28.683153,77.17482
SREE CHITRA PUBLIC SCHOOL,KERALA,TRIVANDRUM,PANDAKASALA CHIRAYINKIL PO THIRUVANANTHAPURAM KERALA,"(8.5241, 76.9366)",8.47029,76.903014
BHAI GURUDAS PUBLIC SCHOOL,PUNJAB,PANCHKULA,"VILLAGE & P.O. KALRA, NEAR ADAMPUR, JALANDHAR","(30.74, 76.8)",30.785951,76.854238
BRIGHT PUBLIC SCHOOL,TAMILNADU,CHENNAI,KULAMANDAI,"(13.0825, 80.275)",13.147008,80.239616
SWAMI VIVEKANAND GOVT MODEL SCHOOL,RAJASTHAN,AJMER,"BLOCK, ASIND, DISTT- BHILWARA, RAJASTHAN","(26.4499, 74.6399)",26.467632,74.63502
"SWAMI AWADHESHANAND PUBLIC SCHOOL, KAMPTEE",MAHARASHTRA,CHENNAI,"BEHIND RAILWAY STATION , NEW KAMPTEE","(13.0825, 80.275)",13.151241,80.328074
GREENWOOD SCHOOL,GUJARAT,AJMER,"OPP. MOTAL THE VILLAGE, KALAWAD ROAD, AT. HARIPAR PAR","(26.4499, 74.6399)",26.410956,74.687991
ANGELS PUBLIC MODEL SCHOOL,HIMACHAL PRADESH,PANCHKULA,VPO KHANNI TEHSIL NURPUR DISTT KANGRA HIMACHAL PRADESH,"(30.74, 76.8)",30.792665,76.812308
"MERRY LAND CONVENT SCHOOL, MANDI DABWALI DISTT. SIRSA",HARYANA,PANCHKULA,"SIRSA ROAD,","(30.74, 76.8)",30.717108,76.778082
FLORA DALE SCHOOL,DELHI,DELHI,"R POCKET DILSHAD GARDEN, DISTT NORTH EAST DELHI, DELHI","(28.61, 77.23)",28.551564,77.139696
ACHARYA SUDARSHAN VIDYAPEETH,BIHAR,PATNA,SUDARSHAN DHAM,"(25.6, 85.1)",25.508629,85.179608
ST. XAVIER'S SCHOOL,JHARKHAND,PATNA,P B NO. 19 HAZARIBAGH JHARKHAND,"(25.6, 85.1)",25.651965,85.052948
GOVT BOYS SR. SEC SCHOOL,DELHI,DELHI,PALLA MAZRA DELHI,"(28.61, 77.23)",28.692741,77.217099
EBENEZER MARCUS INTERNATIONAL SCHOOL & JUNIOR COLLEGE,TAMILNADU,CHENNAI,"2, DANIEL STREET, WEST BANU NAGAR, PUDUR, AMBATTUR","(13.0825, 80.275)",13.094458,80.233681
SRI GURUHARKRISHAN PUBLIC SCHOOL,PUNJAB,PANCHKULA,MAJITHA ROAD BYE PASS KHANNA NAGAR AMRITSAR PUNJAB,"(30.74, 76.8)",30.827298,76.856806
MADHAVA EDUCATION CENTRE CENTRAL SCHOOL,KERALA,TRIVANDRUM,PALLIPAD PO ALAPPUZHA DISTT. KERALA,"(8.5241, 76.9366)",8.603855,76.876984
SUNHILL ACADEMY,RAJASTHAN,AJMER,TIJARA ROAD KISHANGARH BAS,"(26.4499, 74.6399)",26.548024,74.568817
LAKSHAYA INTERNATIONAL SCHOOL,GUJARAT,AJMER,"OPP. APPLEWOODS TOWNSHIP,SHANTIPURA CROSS ROAD, SARDAR PATEL RING ROAD, SARKHEJ, AHMEDABAD","(26.4499, 74.6399)",26.414468,74.69077
SHRI GURU NANAK DEV SIKH PUBLIC SCHOOL,UTTARAKHAND,DEHRADUN,NANAKPURI THANDA P O DARAU VIA KICHHA DT UDHAM SINGH NAGAR UTTARANCHAL,"(30.345, 78.029)",30.286042,77.965295
RADIANT INTERNATIONAL SCHOOL,BIHAR,PATNA,"SAGUNA MORE, KHAGAUL ROAD PATNA BIHAR","(25.6, 85.1)",25.547407,85.195451
SWAMI VIVEKANAND GOVT MODEL SCHOOL,RAJASTHAN,AJMER,"BLOCK- PHALODI, JODHPUR, RAJASTHAN","(26.4499, 74.6399)",26.537425,74.673243
NANAKSAR ACADEMY,PUNJAB,PANCHKULA,"NANAKSAR ACADEMY,VILL SALEWALA,P.O KHANEWAL,JAKHAL ROAD,TEH PATRAN DISTT PATIALA PUNJAB 147105","(30.74, 76.8)",30.797712,76.709051
GOVERDHAN VIDYAPEETH,UTTAR PRADESH,ALLAHABAD,"6TH KM STONE ON GOVERDHAN CHATA ROAD, OM NAGAR PADAL, GOERDHAN","(25.4358, 81.8463)",25.451157,81.767008
DAV HCL PUBLIC SCHOOL MALANJKHAND,MADHYA PRADESH,AJMER,TOWN SHIP MAIN ROAD,"(26.4499, 74.6399)",26.3807,74.663917
RANI LAXMI BAI MEMORIAL SCHOOL,UTTAR PRADESH,ALLAHABAD,VIKAS NAGAR LUCKNOW UTTAR PRADESH,"(25.4358, 81.8463)",25.503712,81.920672
GOVT BOYS SR. SEC SCHOOL,DELHI,DELHI,LIBAS PUR DELHI,"(28.61, 77.23)",28.523043,77.252916
M S SARASWATI SENIOR SECONDARY SCHOOL,HARYANA,PANCHKULA,"GAU KARAN ROAD, NEHRU COLONY, ROHTAK HARYANA","(30.74, 76.8)",30.705227,76.738669
DELHI PUBLIC SCHOOL KADIRABAD,BIHAR,PATNA,"KADIRABAD, NEAR W.I.T.","(25.6, 85.1)",25.626965,85.147789
SHAHEED BHAI DIALAJI PUBLIC SCHOOL,PUNJAB,PANCHKULA,OPPOSITE SLIET LONGAWAL DISTRICT SANGRUR PUNJAB,"(30.74, 76.8)",30.653184,76.744044
ATOMIC ENERGY CENTRAL SCHOOL,TAMILNADU,CHENNAI,CHETTIKULAM PO RADHA PURAM TALUK TIRUNELVELI DISTT TAMIL NADU,"(13.0825, 80.275)",13.050822,80.21664
SUNRISE ENGLISH PRIVATE SCHOOL,FOREIGN SCHOOLS,DELHI,PO BOX 71356 ABU DHABI U A E,"(28.61, 77.23)",28.588459,77.215575
CONVENT OF SACRED HEART,HARYANA,PANCHKULA,"2, CROSS ROAD, AMBALA CANTT, AMBALA","(30.74, 76.8)",30.753783,76.816372
D A V PUBLIC SCHOOL,CHATTISGARH,BHUBANESWAR,GEVRA PROJECT ( SECL ) DISTT. KORBA CHHATTISGARH,"(20.27, 85.84)",20.292642,85.918636
VIDYA GYAN MANDIR SR SEC SCHOOL,DELHI,DELHI,PAHARI DHIRAJ DELHI,"(28.61, 77.23)",28.61322,77.192199
INDUS NATIONAL SCHOOL,UTTARAKHAND,DEHRADUN,"SADHU NAGAR , SITARGANJ","(30.345, 78.029)",30.316982,78.077565
JAWAHAR NAVODAYA VIDYALAYA,MEGHALAYA,GUWAHATI,NIYANGBARI EAST KHASI HILLS MEGHALAYA,"(26.1722, 91.7458)",26.168991,91.727006
KENDRIYA VIDYALAYA,TAMILNADU,CHENNAI,"SOWRILPALAYAM ROAD, MEENA ESTATE COIMBATORE TAMILNADU","(13.0825, 80.275)",13.090155,80.23803
KENDRIYA VIDYALAYA,MADHYA PRADESH,AJMER,KILLAI NAKA BALAKOT ROAD DAMOH MADHYA PRADESH,"(26.4499, 74.6399)",26.527922,74.596927
JAWAHAR NAVODAYA VIDYALAYA,MAHARASHTRA,CHENNAI,KATA ROAD WASHIM MAHARASTRA,"(13.0825, 80.275)",13.146575,80.214685
CH BEERI SINGH PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,SUNDER BAGH DAYAL BAGH AGRA UTTAR PRADESH,"(25.4358, 81.8463)",25.492363,81.794089
VIVEKANAND SENIOR SECONDARY SCHOOL,HARYANA,PANCHKULA,RAILWAY STATION KOSLI BHAKLI-2,"(30.74, 76.8)",30.752249,76.873534
GOVT SR SEC SCHOOL,ANDAMAN & NICOBAR,CHENNAI,BAKULTALA P O BAKULTALA MIDDLE  ANDAMAN A & N ISLANDS,"(13.0825, 80.275)",13.058133,80.285484
GOVT SARVODAYA KANYA VIDYALAYA,DELHI,DELHI,O-BLOCK MANGOLPURI DELHI,"(28.61, 77.23)",28.528939,77.318192
SMART WONDERS SCHOOL,PUNJAB,PANCHKULA,"SEC 71, MOHALI ROPAR","(30.74, 76.8)",30.711585,76.891443
SEVEN HILLS RESIDENTIAL SCHOOL,ODISHA,BHUBANESWAR,"JHARSUGUDA HIGHWAY, PARDHIAPALI,POST-SANKARMA SAMBALPUR, ORISSA.","(20.27, 85.84)",20.288374,85.825499
B.S.M. SCHOOL,UTTAR PRADESH,DEHRADUN,"B.S.PARK, KARNAL ROAD, SHAMLI,  MUZAFFARNAGAR.","(30.345, 78.029)",30.349519,78.082747
T.R. GANDHI PUBLIC SCHOOL,MADHYA PRADESH,AJMER,"A.B. ROAD MORENA, M.P.","(26.4499, 74.6399)",26.429521,74.699802
B.K.N. PUBLIC SCHOOL,HARYANA,PANCHKULA,"NH10, KHARKARA, TEH. MEHAM, DIST. ROHTAK","(30.74, 76.8)",30.670009,76.750788
KENDRIYA VIDYALAYA,MAHARASHTRA,CHENNAI,ORDNANCE FACTORY JAWAHAR NAGAR BHANDARA MAHARASHTRA,"(13.0825, 80.275)",13.175311,80.369713
INFANT JESUS PUBLIC SCHOOL,KERALA,TRIVANDRUM,PERUMPA DANNA NORTH PARUR ERNAKULAM DISTT KERALA,"(8.5241, 76.9366)",8.429362,77.023894
GOVT BOYS SR. SEC SCH NO-2,DELHI,DELHI,NEW SEELAM PUR DELHI,"(28.61, 77.23)",28.628718,77.158748
GOVT MODEL HIGHER SECONDARY SCHOOL,CHATTISGARH,BHUBANESWAR,DANTEWADA CHHATTISGARH,"(20.27, 85.84)",20.215144,85.803375
GOVT HR SEC SCHOOL,ARUNACHAL PRADESH,GUWAHATI,BOLONG ROING DT- DIBANG VALLEY ARUNACHAL PRADESH,"(26.1722, 91.7458)",26.080731,91.812311
ANJU GILL ACADEMY,UTTAR PRADESH,ALLAHABAD,"KATGHARA, P.O.: MURADGANJ","(25.4358, 81.8463)",25.503188,81.93042
ST SOPHIA'S SR SEC SCHOOL,DELHI,DELHI,A-2 BLOCK PASCHIM VIHAR NEW DELHI,"(28.61, 77.23)",28.633496,77.162552
ST. PAUL HIGHER SECONDARY SCHOOL,MADHYA PRADESH,AJMER,BOUNDARY ROAD INDORE MADHYA PRADESH,"(26.4499, 74.6399)",26.386096,74.680763
"GOVINDRAM KATARUKA SCHOOL,",JHARKHAND,PATNA,"ARGA KATHAL ME ROAD, DHIPATOLI, PUNDAG","(25.6, 85.1)",25.659061,85.059599
"G.D GOENKA INTERNATIONAL SCHOOL, JALANDHAR",PUNJAB,PANCHKULA,"ELDECO GREENS, NAKODAR ROAD, JALANDHAR","(30.74, 76.8)",30.754467,76.771839
APEX PON VIDYASHRAM,TAMILNADU,CHENNAI,"NO.42,THIRUGNANA SAMPANTHAR STREET,SRINIVASA NAGAR,, VELACHERY, CHENNAI.","(13.0825, 80.275)",13.009401,80.293723
KURVEYS NEW MODEL PUBLIC SCHOOL,MAHARASHTRA,CHENNAI,"NEAR DIKSHA BHOOMI SQUARE,SHRADDHANAND PETH","(13.0825, 80.275)",13.034558,80.277021
VSR INTERNATIONAL SCHOOL,TAMILNADU,CHENNAI,5 147 3 KALYANI NAGAR IDAIYANGUDI ROAD,"(13.0825, 80.275)",13.109153,80.317453
BROOK INTERNATIONAL SCHOOL,KERALA,TRIVANDRUM,RAJAGIRI SASTHAMCOTTA KOLLAM DISTT KERALA,"(8.5241, 76.9366)",8.576028,76.897019
RAINBOW PUBLIC SCHOOL,KARNATAKA,CHENNAI,"14/3, M K HALLI, GADDIGE-BOGADI, MYSORE-570026.","(13.0825, 80.275)",13.036651,80.241409
ST. PETER'S ACADEMY,PUNJAB,PANCHKULA,AJIT NAGAR PATIALA PUNJAB,"(30.74, 76.8)",30.733702,76.739826
RAGHUWANSH PUBLIC SCHOOL,MADHYA PRADESH,AJMER,NEAR SARASWATI COLONY SENDHWA DISTT BARWANI MADHYA PRADESH,"(26.4499, 74.6399)",26.54339,74.660583
VASUNDHARA PUBLIC SCHOOL,DELHI,DELHI,"B-65, HASTSAL VIHAR, UTTAM NAGAR,NEW DELHI=110059","(28.61, 77.23)",28.695446,77.223507
SHUBHAM GLOBAL SCHOOL,UTTAR PRADESH,ALLAHABAD,"MAHSON, BASTI","(25.4358, 81.8463)",25.532301,81.774559
MANAS BHARTI EDUCATIONAL COMPLEX,BIHAR,PATNA,"MANAS BHARTI EDUCATIONAL COMPLEX,GANGTI,GONAWAN, NAWADA,BIHAR","(25.6, 85.1)",25.691257,85.052631
DAV PUBLIC SCHOOL,HARYANA,PANCHKULA,"PO SADHAURA JAGADHARI, DISTT YAMUNA NAGAR HARYANA","(30.74, 76.8)",30.686087,76.839401
SADHU RAM VIDYA MANDIR,CHATTISGARH,BHUBANESWAR,PRA PARISAR SURAJPUR DISTRICT SURAJPUR (CG),"(20.27, 85.84)",20.195668,85.816015
DINAH CONVENT HIGH SCHOOL,MADHYA PRADESH,AJMER,"DINAH CONVENT HIGH SCHOOL, SARASWATI NAGAR,","(26.4499, 74.6399)",26.499377,74.577177
GOVT HIGHER SECONDARY SCHOOL,CHATTISGARH,BHUBANESWAR,HALDIBAZAR CHIRIMIRI KOREA CHHATTISGARH,"(20.27, 85.84)",20.31131,85.795354
JESUS & MARY ACADEMY,BIHAR,PATNA,OPP. TELEPHONE EXCHANGE ALALAPATTI LAHERIA SARAI DARBHANGA BIHAR,"(25.6, 85.1)",25.526812,85.151832
JAIPUR SCHOOL,RAJASTHAN,AJMER,SECTOR-6 VIDYA DHAR NAGAR JAIPUR RAJASTHAN,"(26.4499, 74.6399)",26.517683,74.564454
SH.NARAYAN SARVHITKARI VIDYA MANDIR,PUNJAB,PANCHKULA,"OPP. FEST DEPARTMENT, BARNALA ROAD, DISTT MANSA, PUNJAB","(30.74, 76.8)",30.722686,76.770951
KENDRIYA VIDYALAYA,UTTAR PRADESH,ALLAHABAD,N T P C DIBIYAPUR AURAIYA UTTAR PRADESH,"(25.4358, 81.8463)",25.422355,81.771047
SEVA BHARATHI ENGLISH MEDIUM HIGHER PRIMARY SCHOOL,KARNATAKA,CHENNAI,COURT ROAD  CHAMARAJANAGAR - 571 313,"(13.0825, 80.275)",13.170273,80.313085
ST. MARYS SCHOOL,UTTAR PRADESH,ALLAHABAD,GARAUTHA ROAD GURSARAI PO,"(25.4358, 81.8463)",25.51142,81.898968
GOVT SARVODAYA GIRLS SR SEC SCH NO1,DELHI,DELHI,MODEL TOWN DELHI,"(28.61, 77.23)",28.629636,77.266451
JAWAHAR NAVODAYA VIDYALAYA,ASSAM,GUWAHATI,PO- DIPHU DT- KARBI ANGLONG ASSAM,"(26.1722, 91.7458)",26.20057,91.682426
LORD KRISHNA RESIDENTIAL PUBLIC SCHOOL,KERALA,TRIVANDRUM,"PANIYIL, CHATHANNOOR(PO),KOLLAM,KERALA","(8.5241, 76.9366)",8.541714,76.895205
SISTER NIVEDITA SCHOOL,TELANGANA,CHENNAI,7-1-63  AMEERPET HYDERABAD ANDHRA PRADESH,"(13.0825, 80.275)",13.00985,80.295076
D.P. VIDYAPEETH,UTTAR PRADESH,DEHRADUN,"D.P. VIDYAPEETH, DHANARI","(30.345, 78.029)",30.283481,78.127208
SRI PARASAKTHI VIDYALAYA,TAMILNADU,CHENNAI,COLLEGE ROAD TENKASI TALUK NELLAI DIST. TAMIL NADU,"(13.0825, 80.275)",13.136714,80.275506
ADARSH INDIAN PUBLIC SECONDARY SCHOOL,RAJASTHAN,AJMER,"C/O ADARSH INDIAN PUBLIC SECONDARY SCHOOL, DEOLI, TONK, RAJASTHAN-304804","(26.4499, 74.6399)",26.48832,74.665229
RALLI INTERNATIONAL SCHOOL,UTTAR PRADESH,ALLAHABAD,"NITI KHAND-III, INDIRAPURAM","(25.4358, 81.8463)",25.506239,81.86216
THE MANIK PUBLIC SCH0OL,KARNATAKA,CHENNAI,MANIK NAGAR HUMNABAD TQ BIDAR DISTT. KARNATAKA,"(13.0825, 80.275)",13.086889,80.356175
ST. JOHN'S SCHOOL,UTTAR PRADESH,ALLAHABAD,AGRA ROAD FIROZABAD UTTAR PRADESH,"(25.4358, 81.8463)",25.491006,81.817492
R.D.J.K. GOVT BOYS SR SEC SCHOOL,DELHI,DELHI,BHAJAN PURA DELHI,"(28.61, 77.23)",28.582373,77.225362
SUNBEAM SCHOOL,UTTAR PRADESH,ALLAHABAD,"SHERPUR CHAURAHA (CHUNAR ROAD), NARAYANPUR, MIRZAPUR, U. P.","(25.4358, 81.8463)",25.42559,81.757382
DAV POLICE PUBLIC SCHOOL,HARYANA,PANCHKULA,"CPT & R CAMPUS BHONDSI, GURGAON, HARYANA-122 102","(30.74, 76.8)",30.821575,76.853984
GOVT HIGH SCHOOL,CHANDIGARH,PANCHKULA,KHAJHERI V P O BADHERI CHANDIGARH,"(30.74, 76.8)",30.72253,76.768305
"RAJKIYA PRATIBHA VIKAS VIDYALAYA,",DELHI,DELHI,"SECT-19, DWARKA NEW DELHI-75","(28.61, 77.23)",28.63154,77.234126
TAPOVAN SANSKARDHAM VIDHYALAYA (ENG.MED.),GUJARAT,AJMER,"N.H.NO.8,AT.DHARAGIRI, PO.KABILPE, NAVSARI - 396 424.","(26.4499, 74.6399)",26.474123,74.68561
APOLLO INTERNATIONAL SCHOOL,UTTARAKHAND,DEHRADUN,SHASTRADHARA ROAD DEHRADUN UTTARANCHAL,"(30.345, 78.029)",30.315412,78.038644
M.G.M. SR. SEC. SCHOOL,HARYANA,PANCHKULA,"JIND ROAD, TITOLI, ROHTAK","(30.74, 76.8)",30.733161,76.821004
LITTLE ANGELS SCHOOL,ODISHA,BHUBANESWAR,BRAJRAJ NAGAR DISTT JHARSUGUDA ORISSA,"(20.27, 85.84)",20.271809,85.866206
PAUL INTERNATIONAL SCHOOL,UTTAR PRADESH,ALLAHABAD,NEAR JAL BHAWAN SITAPUR ROAD LAKHIMPUR KHERI UP,"(25.4358, 81.8463)",25.511386,81.879017
ARMY PUBLIC SCHOOL,ANDHRA PRADESH,CHENNAI,"NEAR EAGLE CHOWK, OLD CDM COMPLEX, BOLARUM, RANGAREDDY, SECUNDERABAD, ANDHRA PRADESH-500010","(13.0825, 80.275)",13.10134,80.226089
CENTRAL SCHOOL FOR TIBETANS,UTTARAKHAND,DEHRADUN,HAPPY VALLEY MUSSOORIE UTTARANCHAL,"(30.345, 78.029)",30.251381,78.084844
VIDYA BHAVAN MAHAVIDYALAYA S S SCHL,DELHI,DELHI,LODHI ESTATE NEW DELHI,"(28.61, 77.23)",28.704711,77.164736
SARDAR BABA SINGH PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,"DASHMESH NAGAR, REHARIYA, PIPARIYA DHANI","(25.4358, 81.8463)",25.454604,81.847328
THEOPTIMUSPUBLICSCHOOL,TAMILNADU,CHENNAI,"BHAVANI-KAVINDAPPADI MAIN ROAD, SEVAGOUNDANUR, PERIAPULIYUR VILLAGE, BHAVANI TALUK","(13.0825, 80.275)",13.127913,80.187714
JAWAHAR NAVODAYA VIDYALAYA,MANIPUR,GUWAHATI,LIWA KHULLEN SARAI CHANDEL MANIPUR,"(26.1722, 91.7458)",26.257122,91.717728
SHRI MAHAVEER INTERNATIOAL SCHOOL,RAJASTHAN,AJMER,"SHYAM VIHAR COLONY, NEAR RAILWAY STATION, KISHANGARH-RENWAL, JAIPUR","(26.4499, 74.6399)",26.422496,74.704675
AMAR PUBLIC SCHOOL,UTTAR PRADESH,DEHRADUN,SECTOR 37 NOIDA UP,"(30.345, 78.029)",30.284061,78.121843
SHASTRY SCHOOL,KARNATAKA,CHENNAI,"B.M.BYE PASS ROAD, HUNSUR","(13.0825, 80.275)",13.096536,80.195329
